stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,3.21,5.35,2.14,0,0,33.16,1.07,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,0,22.76,2.68,20.08,0,1.34,0,40.16,2.68,0
3Month,0,0.96,0,0.32,0,0.32,0,0,0,0.32,0,0.32,0,0,1.6,0,0,0,0,0,0.32
22Month,0.55,0.55,0,0,1.09,6.56,0.55,1.64,0,0.55,1.09,0,0,0.55,1.64,0,0.55,0.55,1.64,0,0
