stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,1.34,4.02,0,4.02,0,1.34,0,0,0,2.68,73.62,0,0,2.68,8.03,4.02,0,0,0,0,6.69,2.68,0,1.34,0,2.68,1.34,0,0,0,0,0,0,21.42
3Month,0,1.28,0.32,5.44,0,0.96,0,1.28,6.08,0.32,0,8.96,175.65,3.52,5.12,0.32,1.6,22.4,1.92,0.32,0,0.96,0.32,0,0,0.32,0,0,0.32,1.28,2.56,19.2,0,0,0.64,4.48,73.59
22Month,0.55,3.28,1.09,9.84,0,1.64,3.28,0,30.07,1.09,0,67.24,67.24,19.13,7.65,0.55,0.55,402.88,8.75,0,2.19,2.19,0,0,0,0,1.64,1.09,0,3.28,0,6.01,0.55,2.73,0.55,0,98.94
