stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Smooth_muscle_cell
72hpf,0,0,2.14,0,0,0,2.14,7.49,0,1.07,1.07,1.07,0
21Day,4.02,0,1.34,2.68,0,1.34,2.68,5.35,1.34,0,6.69,0,0
22Month,0,1.64,0,0,1.09,0,0,0,0,0,0,0.55,0.55
