stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,3.21,3.21,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,0,4.02,12.05,0,5.35,1.34,1.34,0,9.37,250.31,131.18,0,1.34,4.02,24.09,4.02,0,1.34,0,17.4,1.34,0,0,0,5.35,4.02,0,0,0,1.34,0,0,107.08
3Month,0.64,1.28,0.96,7.68,0,0.64,0,3.2,26.24,0,18.24,911.22,4.8,6.72,0.64,2.24,7.04,6.08,0.32,1.28,2.24,0.32,0,0,0.64,0,0.96,0.96,3.2,2.24,0,0,3.84,3.84,18.88
22Month,0,0.55,0.55,2.73,0,0,0.55,2.19,3.83,0.55,22.41,394.14,25.69,3.83,0,1.09,14.21,3.83,0,1.64,0,0.55,0,0.55,0,1.09,0,0,0,0.55,0.55,0,0,0,28.43
