stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,2.68,0,1.34,0,0,0,1.34,1.34,2.68,1.34,0,0,0,0,0
3Month,0.96,2.56,10.56,0.64,0.32,0.96,2.24,0,10.24,1.6,1.28,1.92,3.52,2.88,4.16,8,1.28,0,2.24,0.32,1.28,0.32,1.28,0.32,0.32,0.32,47.03,0.32,0,0.96,1.28,8.96,2.24
22Month,0,7.65,6.56,0,0.55,2.19,1.64,7.65,23.51,2.19,2.19,7.11,1.09,1.09,4.37,13.67,2.19,1.09,1.09,0.55,2.19,0,1.64,2.73,1.64,1.09,15.85,5.47,0.55,1.09,0.55,0,3.28
