stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,3.21,0,0,0,2.14,0,0,0,0,0
21Day,2.68,6.69,2.68,4.02,1.34,0,4.02,0,1.34,4.02,0,4.02,0,6.69,0,0,1.34,0,0
3Month,0,1.6,0,0,0,0.32,0.32,0.64,0,0.32,0.32,0,0.32,0,0,0.64,0,0.96,1.92
22Month,0,0,0,0,1.64,9.29,0.55,2.19,0,0,0,0,0,0,0,0,0.55,0,0
