stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,53.12,4.09,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,4.28,3.21,0,0,0,11.77,3.21,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,8.03,0,0,0,36.14,2.68,0,4.02,32.12,5.35,0,0,0,4.02,1.34,0,2.68,0,1.34,2.68,0,1.34,0,1.34,0,0,0,22.76
3Month,0,1.28,0.32,7.68,0,0.64,0.64,12.48,0,4.16,68.79,1.6,11.2,0.96,0.96,51.83,1.6,0.96,0,0,0,0,0.64,0,0,0,1.92,0.64,9.28,0.64,0,0.32,0.96,2.88,48.63
22Month,0.55,1.64,0,3.83,0,0,1.09,28.43,1.64,18.04,24.6,2.73,20.23,0,0,52.48,1.64,0,0.55,0.55,0.55,0,0.55,1.64,0.55,0,0,0,7.65,0,0,0,0,0,28.43
