stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,8.17,16.35,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,4.09,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,622.62,2.14,2.14,5.35,0,0,0,0,0,0,0,1.07,5.35,2.14,10.7,0,0,43.86,23.54,0,0,5.35,1.07,0,1.07,1.07,2.14,1.07,0,0
21Day,550.14,2.68,26.77,8.03,0,0,0,2.68,1.34,4.02,2.68,0,8.03,0,20.08,2.68,0,22.76,14.72,0,0,10.71,1.34,2.68,0,0,2.68,0,0,1.34
3Month,7.04,0,0.32,0,0,0,1.6,1.6,0,0,0.64,0,0.32,0.32,0.96,0,1.28,0,0,0,0.32,0,0,1.28,0,0,0,0.32,0.64,0.64
22Month,0,0,0,0,0.55,0.55,0,4.92,0,0,0.55,0,0,0.55,1.64,0.55,0,0,0,0.55,0,0,0,5.47,0,0,0,0,0,0
