stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mt_rich_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,13.91,0,0,1.07,0
21Day,0,0,0,0,0,0,0,5.35,1.34,1.34,0,0
3Month,0,0.32,4.8,0.32,0,0.32,0,0,0,0,0,0
22Month,1.09,0.55,84.18,0,0.55,0,0.55,0,0,0,0,0.55
