stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,5.35,0,0,0,0,0,0,0,0,0,0,4.02,0,2.68,0,0,0
3Month,5.44,0,0.32,0.32,3.84,1.28,1.28,1.28,0.96,0.32,0,0,0,0,2.88,0.32,0.32
22Month,5.47,0.55,0,2.73,22.41,0,2.73,0,0.55,3.28,1.09,0,0.55,0.55,9.29,0,0
