stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,0,4.09,4.09,16.35,8.17,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,9.63,3.21,2.14,0,1.07,0,0,0,0,0,0,0,4.28,11.77,0,4.28,0,0,0,0,77.02,17.12,0,0,8.56,0,0,2.14,0,0,0,0
21Day,2.68,0,33.46,0,1.34,0,4.02,0,1.34,0,0,0,6.69,4.02,1.34,8.03,8.03,20.08,0,0,1.34,0,54.88,13.39,1.34,0,16.06,4.02,0,2.68,0,0,0,5.35
3Month,2.24,0.96,11.2,0,0,0.32,0.32,3.84,1.6,0,8.96,0.96,1.28,4.48,1.92,5.12,2.56,3.52,0.32,0,0.96,0.32,1.28,0,0,0,0.32,0.64,6.72,0.32,0.32,4.16,5.76,4.8
22Month,0,0.55,6.01,0,0,0,0,1.64,4.92,1.09,25.69,2.19,1.64,4.37,0.55,0.55,4.37,2.73,0,1.64,0,0,0,0,0.55,0.55,0,0.55,2.19,0.55,0,0,0,3.83
