stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,1.07,1.07,1.07,1.07,0,0,0,5.35,10.7,0,0,1.07,0,0
21Day,0,1.34,5.35,0,0,0,0,1.34,0,4.02,0,0,4.02,0,1.34,0,0,0,0,4.02,1.34,0,0,0,1.34
3Month,0,0.64,2.88,0,0.64,0.64,0,25.6,0.32,0,3.52,0.32,0.64,0,0.96,0.32,0.64,1.28,0,0,0,0.32,0,0.96,1.6
22Month,0,0,0,0,0,0,0.55,26.24,0,0,3.83,0,0,0,0,0,1.64,0,0,0,0,0.55,0,0,0.55
