stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,4.02,0,0,0,0
3Month,0.64,0.96,0.64,0,0.64,0.64,0,83.83,0,0.64,0.64,0.32,0.64,0.32,0.64,0.64,0.32,0,0,5.12,1.6,23.04,0,0,0.64,6.72
22Month,1.09,2.19,0,0.55,0,2.19,1.09,60.68,0.55,3.83,0.55,0,1.09,1.09,0,0.55,0,0.55,0,1.09,0,0,0,0,0,0
