stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Retinal_cone_cell,T_cell
72hpf,2.14,0,0,2.14,0,4.28,0,0
21Day,0,0,0,0,1.34,0,1.34,0
3Month,0,0,0.32,0,0,0,0,0.32
22Month,0,1.09,0,0,0,0,0,0
