stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,1.34,0,0,0,0,1.34,0,1.34,0,1.34,1.34,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.64,8.32,0,5.12,0.64,0,3.52,28.16,0.32,20.8,0.96,0.64,4.16,0.96,0.96,125.74,0.32,0.64,0,0.96,0.32,3.52,0.32,0.64,4.16,0.96
22Month,0.55,0.55,4.92,0,1.64,0.55,0.55,8.2,10.39,0,9.84,0,0,5.47,0.55,0,62.87,0,2.19,0.55,0,0,2.19,0,0,0,0.55
