stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,10.7,0,0,2.14,1.07,0,0,3.21,0,0,0,0,0,0
21Day,2.68,1.34,1.34,5.35,1.34,4.02,0,1.34,1.34,0,0,1.34,0,0,2.68,0,26.77,0,1.34,5.35,4.02,0,0,5.35,4.02,0,2.68,0,0,1.34
3Month,0,1.28,0.32,8,0,0.32,0.32,4.8,0,4.8,2.88,0,2.56,1.28,4.8,2.88,5.12,0.96,1.6,0,0,0.32,0,0,0,0.64,0,0.32,3.2,2.24
22Month,0,1.64,0,6.01,0,0,0.55,1.64,1.09,10.93,0,0.55,2.19,0,0.55,3.28,2.73,0,1.09,0,0,1.09,0.55,0,0,0,0,0,0,1.64
