stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,28.6,0,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,0,0,16.35,77.64,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,8.56,2.14,1.07,0,0,0,0,0,0,0,3.21,18.19,0,28.88,0,1.07,0,0,149.77,48.14,1.07,3.21,0,28.88,0,0,13.91,0,1.07,1.07,0,0
21Day,4.02,0,14.72,0,1.34,2.68,0,0,1.34,1.34,2.68,5.35,0,4.02,1.34,20.08,0,0,4.02,1.34,44.17,13.39,1.34,2.68,0,10.71,2.68,2.68,9.37,1.34,0,0,0,0
3Month,0,0,3.84,0,0,0,0.64,1.28,3.84,1.28,0.64,4.16,0.32,2.24,0.64,4.48,2.56,0,0,1.6,0.32,0,0.32,0.32,0,0.32,0.64,15.04,0,0,0,0,3.2,0.32
22Month,0,0,0.55,0,0,0,0.55,2.19,19.13,1.09,0,10.39,0,0.55,0.55,2.19,0.55,0,0,0,0.55,0,0.55,0,1.09,0,0.55,6.56,1.64,0,0,0,0,0
