stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,33.16,7.49,0,0,0,2.14,0,2.14,0,0,0,0
21Day,0,0,0,2.68,2.68,2.68,0,0,0,0,0,1.34,0,0,0,0,4.02,0,0,10.71,2.68,0,0,0,0,0,0,0,0,0,0
3Month,0,0.96,0.32,7.04,0.32,0,0.32,1.92,0,6.72,0.64,0.32,2.56,0.64,1.92,3.2,1.28,0.96,0.96,0.96,0,0.32,0.64,0,0,7.68,0.64,0,0.64,5.76,2.24
22Month,0,0.55,0,1.64,0.55,0,0,0.55,1.64,18.59,1.09,0,1.64,0,0,1.09,3.28,0,0.55,0,0,0,0,0.55,0,2.73,0.55,0.55,0,0,0
