stage,Immune_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,1.07,0,0,0
3Month,0.32,0,0.96,0.32,0,0,4.48,2.56
22Month,0,0,0,0,0,0,4.37,0
