stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Retinal_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,1.07,1.07,1.07,4.28,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,1.34,1.34,0
3Month,0,0.64,0.32,1.28,0,0,0,0.32,0,0,0,0,0.32
22Month,0.55,0.55,0,7.11,0.55,0,0,0.55,0,0,0.55,0,0
