stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,20.33,4.28,0,6.42,0,0,0,0,0,0,0,1.07,7.49,1.07,7.49,1.07,1.07,733.88,12.84,0,2.14,0,17.12,0,0,2.14,0,5.35,0,0,0
21Day,0,1.34,14.72,0,8.03,1.34,0,0,0,0,1.34,1.34,0,6.69,2.68,9.37,4.02,0,302.51,5.35,0,0,0,2.68,10.71,1.34,2.68,4.02,0,0,0,0
3Month,0.32,4.16,5.44,0.32,0,0,1.6,0,6.08,0.96,0,1.6,0,5.12,0.64,1.92,0,0,1.6,0,0,0.32,0,0.32,0,6.72,0,0,0,1.6,0.32,1.28
22Month,0.55,2.19,3.28,0,0,0,3.28,0.55,17.49,0,1.09,3.83,0,1.64,3.83,2.19,0,0,6.01,0,0.55,1.09,0.55,0,0,26.24,0.55,0,0,0,0,0.55
