stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,24.52,49.04,0,0,0,8.17,0,0,0,0,0,12.26,24.52,110.33,0,24.52,641.57,4.09,24.52,0,0,0,8.17,0,0
72hpf,0,4.28,1.07,0,0,0,0,0,1.07,0,1.07,1.07,1.07,6.42,0,14.98,24.61,0,4.28,0,0,1.07,0,0,0
21Day,1.34,6.69,10.71,12.05,0,0,1.34,1.34,1.34,0,0,0,2.68,4.02,1.34,6.69,10.71,0,1.34,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0.32,0,0.64,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.96,0,0,0.32,0.32
22Month,1.09,1.09,0,0,2.73,0,1.64,0,0,0.55,0,0,0.55,0,0,0,0.55,0,0,0.55,0,0,0,0,0
