stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,48.14,3.21,0,1.07,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,18.74,1.34,0,0,1.34,0,0,0,0,0
3Month,0.32,0.32,0.64,0.96,2.88,0.32,0.64,0,0.32,0,0,0,0.32,7.36,0,0.32,0.32,0.32,0.64,0,0.32,12.16,0.32
22Month,0,0,0,0,22.41,0,3.83,0.55,0,0.55,0.55,0.55,0,1.64,0,0.55,0,0,0,0,0,0,0
