stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,13.91,0
21Day,0,0,0,0,0,1.34,0,2.68,0
3Month,0.32,0,0,0.64,0,0,0,0,0.64
22Month,0.55,0.55,0.55,3.28,0.55,0.55,0,0,0
