stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,22.47,1.07,1.07,0,18.19,7.49,0,0,3.21,0,0,0,0,0,0,0,0,0
21Day,8.03,0,2.68,5.35,0,4.02,0,1.34,0,0,0,0,0,0,2.68,0,0,2.68,0,1.34,0,0,0,8.03,2.68,0,0,1.34,1.34,0,0,0,1.34,0,0,0,1.34
3Month,0,1.6,1.92,11.52,1.28,0,1.28,0.32,0.64,4.8,4.48,0,426.17,2.88,0.32,24,1.28,1.92,2.24,3.84,0,2.88,1.28,1.6,0.64,0.96,0,0.32,4.48,0.32,17.6,1.92,0,0.32,0.64,3.52,3.2
22Month,0,0.55,2.19,12.03,0,0,0,0,0,4.37,4.37,4.37,231.23,1.09,0.55,21.32,0,1.64,2.19,0.55,1.64,2.73,0,0,0,0,0.55,0,0,0,3.83,0,1.64,0,0.55,0,0
