stage,Endothelial_cell,Erythrocyte,Ionocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,Retinal_cell
72hpf,0,0,1.07,0,36.37,2.14,0,0,2.14
21Day,1.34,1.34,0,0,14.72,0,1.34,1.34,0
22Month,0,0,0,0.55,0,0,0,0,2.73
