stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,0,5.35,0,2.68,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,3.52,0,0.96,0,6.08,1.28,1.28,0.32,0,0.64,0.32,0,0.32,0,0,0.32,0,0.64,0,1.6
22Month,0,0,0.55,1.64,0.55,1.09,0.55,14.76,1.09,4.92,0.55,0,2.19,1.09,0.55,0,0,0,0,0,1.09,0.55,0.55
