stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,1.07,0,1.07,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0
3Month,0,0,0.64,0.32,0,0.64,0,0.32,5.76,3.52
