stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,57.21,0,0,4.09,0,0,8.17,0
72hpf,1.07,0,0,0,0,0,0,2.14,1.07,1.07
21Day,0,1.34,0,0,1.34,0,14.72,0,0,0
3Month,0,1.92,0,0,0,0,0,0,0,0
22Month,0,0,0,1.09,0,0,0,0,0,0
