stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0
21Day,0,0,4.02,1.34,0,0,10.71,0,1.34,0,0,1.34,1.34,0,0,1.34,0,0,5.35
3Month,0.64,0.32,0,6.72,0.64,5.44,0.32,0,0.96,0.32,0.32,0,0,0.32,0.32,0,0.64,0.32,3.52
22Month,0,0.55,0.55,25.69,1.64,9.84,2.73,0.55,7.65,1.09,0,0,0,0,0,0,0,0,1.64
