stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,5.35,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,1.34,5.35,1.34,2.68,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,1.34,0,5.35,2.68,0,0,2.68,0,0,0,0,0,0,2.68
3Month,1.6,0,7.04,0.64,0,1.28,0.32,1.6,7.36,13.76,5.76,6.72,2.24,2.24,5.76,4.8,0.64,0,0.32,5.12,0.96,0,1.28,0.32,0.32,0.32,5.44,0.32,0,0.32,1.6,2.88
22Month,0.55,0,2.73,0,0,0,0,0.55,4.37,22.41,4.37,4.37,1.09,0.55,2.73,1.09,0,0.55,0.55,0,0.55,0,1.09,0,0,0.55,1.64,0.55,0.55,0,0,1.09
