stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,12.26,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,375.95,12.26,0,0,0,8.17,0,69.47,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,16.05,7.49,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,24.61,100.56,18.19,0,0,0,3.21,40.65,29.95,0,0,33.16,0,0,0,6.42,0,1.07,0,0,0
21Day,2.68,1.34,33.46,1.34,1.34,0,6.69,0,0,4.02,0,0,2.68,0,5.35,2.68,1.34,4.02,109.76,53.54,0,0,10.71,0,17.4,8.03,0,1.34,9.37,2.68,0,0,18.74,1.34,1.34,0,0,0
3Month,0.96,2.24,43.83,1.28,0,0.32,0.64,0.32,2.88,34.23,0.32,0,8.64,7.36,7.68,3.84,5.76,19.2,334.99,25.28,6.08,0,1.92,3.2,3.2,0.32,0.96,1.6,2.24,1.6,0.32,41.91,0.64,0,0.64,6.08,13.44,9.92
22Month,0,2.73,17.49,0.55,0,0,0,0,0,34.99,2.73,0,16.95,3.28,7.65,1.64,1.64,5.47,370.63,12.57,0,0.55,1.09,0.55,2.19,0,1.64,0.55,1.09,1.64,0,9.84,3.28,0,0.55,0.55,0,2.73
