stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,347.68,1.07,8.56,0,4.28,0,0,0,0,0,0,0,0,1.07,9.63,0,34.23,0,0,1069.79,0,52.42,26.74,0,0,95.21,5.35,0,2.14,0,0,0,0,0,0
21Day,120.47,0,124.48,2.68,89.68,17.4,0,5.35,0,20.08,4.02,29.45,10.71,6.69,80.31,20.08,191.41,0,1.34,7817.03,0,232.9,78.97,5.35,16.06,161.96,248.97,0,28.11,5.35,18.74,21.42,0,0,14.72
3Month,4.8,0.64,4.16,0,0,0,5.44,0.64,0,19.84,2.24,0,2.56,1.28,0.32,2.56,2.56,1.28,0,0.32,1.92,0.32,0,0.32,0,0,0.64,3.2,0,0,0,0,0.32,1.92,0.32
22Month,0.55,1.09,1.64,0,0,0,0.55,0,0.55,39.36,0,0,1.09,0,0,1.09,2.73,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
