stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,2.14,0,0,11.77,3.21,0,1.07,0,1.07,0
21Day,2.68,1.34,1.34,0,0,1.34,0,1.34,0,1.34,0,0,2.68,2.68,0,0,0,0,0
3Month,0,2.24,0,0.32,0.32,0,0.32,0,0.64,0,0.32,0.32,0,0,0.64,0.32,0.96,0,0.32
22Month,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
