stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,16.05,0,3.21,0,31.02,3.21,0,2.14,0,2.14,0,0,2.14,0,0,0
21Day,0,0,4.02,0,0,0,1.34,0,1.34,0,2.68,2.68,4.02,4.02,9.37,9.37,0,0,0,0,0,0,0,0,0,0
3Month,1.28,0,1.6,0.32,0.32,0,1.6,0.32,0,0.32,5.76,0.64,0.64,0,0,0,0,0,0,0,0.96,1.6,0,0,0.32,0
22Month,1.09,1.09,2.19,0,1.64,0.55,15.85,0,0.55,6.56,1.64,1.09,1.64,0,0,0,1.64,0,0.55,0,0,10.39,0,0.55,0,0.55
