stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,T_cell
72hpf,1.07,0,0,0,0,0,1.07,38.51,2.14,3.21,2.14,1.07,0
21Day,0,2.68,1.34,0,0,1.34,2.68,34.8,1.34,0,0,4.02,1.34
22Month,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0
