stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythrocyte..Liver.,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Granulosa.cell,Hatching.gland,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cell,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,44.9504503013519,44.9504503013519,0,106.246518894105,4.08640457285017,4.08640457285017,0,4.08640457285017,0,4.08640457285017,0,4.08640457285017,4.08640457285017,0,0,0,32.6912365828014,73.5552823113031,159.369778341157,306.480342963763,0,0,0,8.17280914570035,73.5552823113031,2092.23914129929,0,0,0,49.0368548742021,0,0,0,0,0,0,0,0,0
72hpf,36.3728988098467,11.7677025561269,0,46.0010190830414,3.20937342439823,17.1166582634572,0,6.41874684879647,0,0,0,0,0,0,16.0468671219912,0,55.6291393562361,89.8624558831506,11.7677025561269,175.445747200437,0,13.907284839059,5.34895570733039,2.13958228293216,258.889456234791,634.386146889384,3.20937342439823,0,0,95.2114115904809,7.48853799026255,2.13958228293216,39.5822722342449,6.41874684879647,3.20937342439823,4.27916456586431,0,0,0
21Day,53.5413235281323,8.03119852921984,1.33853308820331,125.822110291111,0,74.9578529393852,0,99.0514485270447,1.33853308820331,12.0467977938298,0,0,6.69266544101654,1.33853308820331,97.7129154388414,5.35413235281323,9.36973161742315,34.801860293286,30.7862610286761,206.134095583309,0,0,20.0779963230496,0,99.0514485270447,235.581823523782,2.67706617640661,0,0,64.2495882337587,13.3853308820331,2.67706617640661,13.3853308820331,9.36973161742315,5.35413235281323,0,0,0,33.4633272050827
3Month,0.319949299554195,3.51944229509615,1.91969579732517,67.189352906381,0.639898599108391,0,4.47929019375874,5.75908739197552,5.11918879286713,28.7954369598776,0.959847898662586,0,61.7502148139597,20.7967044710227,12.1580733830594,13.4378705812762,2.87954369598776,15.3575663786014,27.5156397616608,21.7565523696853,4.15934089420454,0,4.15934089420454,1.27979719821678,2.87954369598776,4.79923949331293,1.27979719821678,1.27979719821678,0,2.23964509687937,2.55959439643356,224.284458987491,1.27979719821678,0.639898599108391,0,1.59974649777098,7.99873248885489,170.213027362832,50.8719386291171
22Month,0,9.29312907035637,1.09330930239487,42.0924081422024,0,0,1.09330930239487,7.10651046556663,4.37323720957947,132.837080240976,11.4797476751461,0,155.796575591269,15.8529848847256,41.5457534910049,30.0660058158588,0.546654651197433,3.82658255838203,50.8388825613613,30.6126604670563,2.73327325598717,4.37323720957947,1.09330930239487,0,2.73327325598717,2.73327325598717,2.73327325598717,3.82658255838203,3.82658255838203,0.546654651197433,1.09330930239487,46.4656453517818,1.09330930239487,2.73327325598717,0,0.546654651197433,0.546654651197433,0.546654651197433,19.6795674431076
