stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,24.52,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,10.7,0,0,0,1.07,0
21Day,0,2.68,1.34,0,0,0,0,1.34,1.34,1.34,0,0,0,1.34,0
3Month,0,0,0,0.32,0.96,0.32,0,0,0.64,0,0,0,3.84,0,0.64
22Month,0,1.09,0,0,3.28,0,1.64,0,0,0,0,1.64,2.19,0,0
