stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,122.59,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,8.17,8.17,4.09,8.17,0,0,0,0,8.17,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,43.86,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,4.28,0,0,4.28,0,5.35,7.49,0,0,3.21,0,0,1.07,0,0,0,0
21Day,18.74,0,0,12.05,0,6.69,0,0,0,0,0,0,0,0,1.34,0,2.68,10.71,2.68,1.34,0,0,1.34,0,6.69,0,0,0,4.02,5.35,0,1.34,0,0,0,4.02
3Month,0.32,1.28,0.32,6.72,0.64,0,0,0.64,1.6,1.92,0,0,23.36,1.6,1.6,3.84,4.48,1.6,2.88,4.8,0.64,0,0.32,1.6,0.32,0.32,0.32,0,0.64,1.28,0.32,63.99,0,0.32,7.36,5.76
22Month,0,2.73,0.55,12.03,0,0,0.55,0.55,0.55,4.92,3.28,0,100.58,0.55,0,4.92,3.28,1.64,4.92,3.83,0.55,8.75,0.55,0,0,0,1.64,0.55,0,0.55,0,20.77,0.55,0,0,3.28
