stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
21Day,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0.64,0.32,0.64,0,1.28,0.32,0,0.32,0.32,0.32,0.32,0.32,0,0.32,1.6,1.28
22Month,0.55,0,0,1.09,1.09,6.01,0,0,0,0,0.55,1.09,0,0,0,0,0.55
