stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,16.05,1.07,0,0,0,0,8.56,3.21,4.28,1.07,0,0,0,2.14,0,0,0
21Day,1.34,1.34,5.35,1.34,2.68,1.34,0,0,0,4.02,14.72,0,4.02,97.71,36.14,10.71,0,0,0,4.02,0,5.35,2.68,8.03,0,1.34,2.68,0,0,136.53
3Month,0,0.32,1.6,0,0,0.32,3.84,0,1.6,11.84,0,0,0.32,2.24,4.16,3.2,0.64,0.96,0.32,0.96,0,16,0,0.32,0.32,0.64,0,0.96,0.64,16.64
22Month,0,1.09,1.09,0,0,0,15.85,0.55,7.11,4.92,0,0.55,0,1.09,37.72,4.92,0,0,0,0.55,0,6.01,0,0,1.64,2.19,0,0,0,31.16
