stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,0,0,0,0,85.81,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,2.14,2.14,0,6.42,0,0,0,0,0,0,0,0,0,0,2.14,7.49,0,9.63,0,0,37.44,14.98,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,9.37,4.02,1.34,0,1.34,0,0,0,0,2.68,1.34,0,4.02,0,8.03,6.69,0,18.74,8.03,0,2.68,4.02,1.34,0,1.34,1.34,0,0,0,4.02
3Month,0,0.32,0,2.24,0,0,0.32,0.64,0,0,3.52,0.64,0,1.28,0,1.28,0.64,0.96,0,0.32,0.32,0.32,0,0,0,0.32,0.96,0,0,0,0.32,2.56,0.32
22Month,0,0.55,0.55,0.55,0,0,0,0,1.09,0,3.83,0.55,0.55,0.55,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,1.64
