stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,1.07,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,161.54,18.19,0,1.07,5.35,0,0,2.14,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,5.35,0,0,61.57,1.34,1.34,2.68,0,5.35,0,4.02,4.02,0,0
3Month,0.64,0.96,0.32,0,0,0.32,0.64,0,1.92,0.32,0,0.64,0.64,0.32,0.32,0,0.64,0.64,0.32,0.32,0,0,0.32,3.52,0,0,0.96,0
22Month,1.09,0.55,0,0,0.55,0,1.64,1.09,16.95,0.55,0.55,1.09,0,1.09,1.09,0.55,0,0.55,0,1.64,0,0,0,1.09,0,0,0,0.55
