stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,1.07,0,1.07,3.21,3.21,2.14,0
21Day,0,1.34,0,0,1.34,0,1.34,0,0,1.34,0,1.34
3Month,0,0,0,0.32,0,0,0.32,0,0,0,0,0
22Month,0.55,0,0.55,0,0,0,0,0,0,0,0,0
