stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,12.26,0,8.17,0,0,0,0,0,0,0,8.17,0,0,0,0,0,12.26,12.26,8.17,0,0,0,0,81.73,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,9.63,3.21,0,5.35,2.14,16.05,0,1.07,0,0,0,0,0,0,2.14,0,1.07,33.16,3.21,6.42,0,1.07,1.07,562.71,27.81,1.07,1.07,21.4,0,0,2.14,10.7,1.07,2.14,0,0,0
21Day,6.69,1.34,0,50.86,0,5.35,0,5.35,0,1.34,0,0,2.68,0,6.69,0,1.34,21.42,5.35,24.09,0,0,4.02,101.73,8.03,0,1.34,25.43,1.34,0,1.34,32.12,1.34,0,0,0,1.34
3Month,0.64,3.2,0.64,13.44,0,0,0.96,1.6,4.48,2.56,0,0,10.24,6.08,0.96,3.52,0.96,2.24,11.52,5.12,0.32,0,0.64,4.48,0.64,0.96,0,0.32,1.6,35.19,0,13.12,0,0.96,1.6,5.12,8.96
22Month,0,7.65,2.73,6.01,0,0,1.09,1.09,2.19,12.03,2.19,0,48.65,1.09,2.73,8.2,1.09,1.64,7.65,7.11,0,2.73,0.55,1.09,0,15.85,2.19,0,0.55,8.2,0,3.83,0,0,1.64,0,6.56
