stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0
21Day,2.68,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,14.72,0,0,0
3Month,0,1.28,0,9.92,0.32,0,0.32,1.28,2.56,14.4,2.88,0,5.76,0.64,2.88,2.56,2.24,0.32,1.28,1.28,0.96,0,0.32,0.64,0.64,2.88,176.61,0.96,468.41,0.64
22Month,0,0.55,0.55,0.55,0,0,0,0,0,3.83,0,0.55,3.83,0,0,1.09,0.55,0,0,0,0.55,0,0,0,0,0,63.41,0,0.55,0.55
