stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,8.56,3.21,0,1.07,0,1.07,0,0,1.07,0,0,0
21Day,0,0,2.68,0,0,0,0,0,1.34,0,1.34,0,0,0,4.02,1.34,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0,5.44,0,0,0.32,0,0,6.08,0.32,0,0.32,0,0,7.36,3.2,0.32,0,0,1.28,0,0.32,0,0,0,0.32,0.96,19.2,0.32,0.32,4.48,0.96
22Month,3.28,2.19,13.67,0.55,0.55,4.37,22.41,10.93,77.08,3.83,1.64,7.65,0.55,4.92,8.2,12.03,0,4.92,0.55,0,1.64,0,1.64,1.64,1533.91,0.55,0.55,4.37,2.19,0,0,3.28
