stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,4.09,8.17,4.09,126.68,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,4.28,5.35,16.05,4.28,0,0,0
21Day,1.34,6.69,4.02,1.34,1.34,4.02,0,0,1.34,9.37,0,1.34,0,1.34
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0
