stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,4.28,0,0,0,0,0,0,0,1.07,1.07,0,0,60.98,4.28,1.07,1.07,0,0,0,0,0
21Day,2.68,0,0,1.34,1.34,1.34,0,0,1.34,0,0,1.34,2.68,0,6.69,0,17.4,4.02,0,0,4.02,0,1.34,0,1.34
3Month,0,0,0.96,0.32,0,0,0.64,0.64,1.28,0.32,0.64,0.32,0.64,0.32,0,0.32,0,0,0,0,0,1.28,0,11.2,1.6
22Month,0,1.64,1.09,0,0,0.55,0,0,2.19,1.09,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0
