stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.64,3.52,1.28,1.6,8,1.6,0,7.68,0,1.28,1.6,2.88,1.28,0,0.96,0.32,0,0.32,0.32,0.96,25.92,1.92,11.52
22Month,0,0.55,0,1.09,1.09,0,19.68,0,0,2.73,0,0,0,0.55,0,0.55,0,0,0,0.55,0,0,16.95,0,0.55
