stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,28.6,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,16.35,265.62,4.09,0,4.09,0,0,0,0,0,0,0
72hpf,6.42,0,0,3.21,3.21,0,0,0,0,0,0,0,2.14,2.14,0,17.12,0,1.07,1.07,317.73,24.61,0,1.07,29.95,0,0,4.28,0,0,0,0
21Day,1.34,0,1.34,12.05,8.03,0,0,0,1.34,0,1.34,1.34,1.34,2.68,1.34,123.15,0,0,1.34,129.84,12.05,0,0,28.11,10.71,1.34,0,0,4.02,0,2.68
3Month,0,0.32,0,3.52,0,0,0.64,0,5.76,1.28,0.32,2.24,0.32,0.64,0.96,26.88,0.32,0.32,0.64,0.32,0,0,0,0.32,0.96,1.92,0,0,0,1.6,0.96
22Month,0,0.55,0,1.64,0,0.55,1.09,0.55,17.49,1.09,0,1.09,0,0,2.73,4.37,0,0,0,0,0,0,0.55,0.55,0,1.09,0,0.55,0,0,0
