stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,8.17,0,32.69,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,44.95,81.73,0,0,4.09,36.78,568.01,0,4.09,0,0,0,8.17,0,0,0
72hpf,0,0,0,1.07,3.21,2.14,0,0,0,0,0,0,0,0,0,1.07,4.28,1.07,12.84,1.07,0,1.07,81.3,16.05,1.07,8.56,1.07,1.07,5.35,0,0,0,0
21Day,0,0,1.34,4.02,0,4.02,1.34,0,0,0,0,1.34,0,2.68,0,2.68,1.34,0,10.71,0,1.34,0,14.72,5.35,1.34,4.02,0,0,0,0,0,0,1.34
3Month,0,0,0.32,0.96,0,0,0,0,0.32,0,0,4.48,0.32,0,0,0,0,1.28,0,0,0.32,0.64,0,0,0,0,0,0.96,0,0,0.64,0.32,0
22Month,0,1.64,0.55,2.73,0,0,0,1.09,2.19,0.55,0,26.24,0.55,0.55,3.83,0,0.55,1.64,4.92,0,0,0,0.55,0.55,0,0,0,0,0,0.55,0.55,0,0
