stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,1.34
3Month,0,0.32,0,0,0,2.24,0.96,0.32,0.64,0,0,0.32,10.24,0,0,0
22Month,0.55,1.64,0.55,1.09,0.55,12.57,0,2.19,0.55,2.73,1.09,0,14.21,0,1.09,1.09
