stage,Cardiomyocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,4.09,4.09,0,20.43,0
72hpf,0,0,8.56,1.07,0
21Day,1.34,0,0,0,1.34
