stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,1.07,2.14,2.14,0,0,0,0,0,0,1.07,21.4,0,12.84,0,0,0,698.57,18.19,0,1.07,12.84,0,0,2.14,2.14,1.07,1.07,0,0
21Day,1.34,0,6.69,0,4.02,0,0,0,2.68,0,0,0,8.03,1.34,24.09,0,0,1.34,113.78,2.68,0,1.34,13.39,1.34,2.68,1.34,1.34,1.34,0,0,0
3Month,0,0.32,1.28,0,0,0.32,0.32,0,6.72,0.32,0.64,0.32,0.64,1.92,1.92,0.64,0,0.32,2.24,0,0,0.32,0,0,6.08,0,0,0,0,0.64,1.92
22Month,0,0,0.55,0,0,0.55,1.09,1.64,13.67,1.64,1.09,0,0.55,2.73,9.29,0.55,0.55,0,2.19,0,2.73,0.55,0.55,0,16.4,2.19,0,0,0,0,0
