stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,302.75,10.7,2.14,0,0,2.14,0,0,0,24.61,19.26,0,0,0
21Day,0,0,16.06,0,2.68,1.34,0,0,0,0,1.34,0,0,2.68,0,1.34,0,0,6.69,0,13.39,1.34,16.06,0,0,1.34,0,2.68,0,24.09,54.88,0,0,0
3Month,0,0,26.88,0.32,0,0.96,1.28,8,6.4,3.2,0.32,2.56,0.64,2.24,1.28,2.88,0.64,0.32,0,1.6,0,0,76.47,0.64,0,0,3.52,115.82,0.64,0.64,0.96,4.48,3.2,0.96
22Month,0,0,22.96,0,0,0,2.73,1.64,17.49,0,0,0.55,0,4.37,4.92,2.73,0,0,1.09,0,0.55,0,77.08,0.55,7.11,0,0.55,47.56,0.55,8.2,0,1.09,0,0
