stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,4.09,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0,0,0,0.32,14.08,0,0,0.32,0.32
22Month,0.55,1.09,1.09,0.55,0.55,0.55,1.64,0,0.55,0.55,0
