stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,8.17,0,0,0,44.95,0,4.09,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,5.35,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,0,84.47,0.32,0.96,0,2.88,1.28,0.32,0.32,0.64,1.6,0.64,0,0,0.32,0.32,11.2,0.64,0.64,0.32
22Month,0,0,0,0,0,0,1.09,0,0,0,0,0.55,0,0,0,0,0,2.73,0,0.55,0
