stage,Epithelial_cell,Erythrocyte,Granulocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0
21Day,6.69,0,0,8.03,1.34,1.34,1.34,0,0
3Month,0,0,0.32,0,0,0,0,0.64,0.32
