stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,7.49,2.14,0,0,0,11.77,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,4.02,0,0,2.68,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0,0,0,0.32,0,0,0.32,0.64,0.96,0,0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0.64,0,0,0,0,0
22Month,0,4.37,1.09,13.12,1.09,1.64,8.2,3990.03,65.6,0.55,1.64,19.68,2.19,1.09,7.11,5.47,0,4.37,1.09,0,0,0,2.73,0.55,1.09,0,3.28,3.83,1.64,0,0.55,1.09
