stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,1.07,1.07,0,1.07,73.82,22.47,0,0,1.07
21Day,0,0,0,0,0,0,0,0,1.34,0,1.34,18.74,13.39,2.68,4.02,8.03
3Month,0,0.64,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0
22Month,0,0.55,0,0,0.55,2.19,0.55,0,0,0.55,1.64,0,0,0,0,0
