stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0,0
3Month,1.28,0.32,0.64,0.32,0.32,0.64,0.32,0,0.32,13.76,0.32
