stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,57.21,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,2.14,0,0,0,2.14,0,1.07,0,0,0,0,0,0,0
21Day,0,1.34,5.35,1.34,0,0,0,5.35,0,0,0,2.68,24.09,4.02,5.35,1.34,20.08,0,0,24.09,0,1.34,0,5.35,0,1.34,4.02,0,0,0,10.71
3Month,0.64,0.64,9.92,0,0.32,0.32,4.16,14.72,0,0,4.16,26.24,0.64,4.8,7.04,1.92,12.48,2.56,0,112.94,7.36,0,0,1.92,0.64,0,1.28,6.4,0.32,3.2,22.72
22Month,1.09,1.64,12.03,0,0,0.55,1.09,14.21,1.09,0,15.31,11.48,0,9.29,1.64,0,7.65,1.09,0.55,65.05,1.09,0,0,2.73,0.55,0,0.55,3.83,0.55,0,26.24
