stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,12.26,4.09,0,0,0,0,0,0,0,0,16.35,8.17,16.35,0,0,0,4.09,85.81,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,1.07,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,0,0.64,0,0,0,0,0,1.28,0,0,0.64,0,0.32,0.64,0,0,0,0,0,0,0,0,0,0.64,35.19,0,0,0.32,15.04,0
22Month,0.55,27.33,2.73,29.52,0,3.28,5.47,39.36,21.87,188.6,14.76,2.19,9.29,5.47,12.03,39.91,0.55,12.57,6.56,2.73,0,2.19,5.47,1954.29,1.09,0,3.83,1.64,2.73,1.64,0,4.92
